COD_VIA;VIA_CLASE;VIA_PAR;VIA_NOMBRE;VIA_NOMBRE_ACENTOS;DISTRITO;BARRIO;IMPAR_MIN;IMPAR_MAX;PAR_MIN;PAR_MAX
00020500;CALLE;DE;ALCOBENDAS;ALCOBENDAS;16;4;1;3;4;12
00020700;CARRETERA;DE;ALCOBENDAS A BARAJAS;ALCOBENDAS A BARAJAS;21;2;15;15;14;30
00020800;CALLE;DE;ALCOCER;ALCOCER;17;1;39;47;50;54
00020800;CALLE;DE;ALCOCER;ALCOCER;17;5;1;39;2;48
00020900;CALLE;DE;ALCOLEA;ALCOLEA;06;4;1;7;4;14
00021000;CALLE;DE;ALCONERA;ALCONERA;20;2;1;9;2;42
00021000;CALLE;DE;ALCONERA;ALCONERA;20;3;-;-;2;2B
00021200;CALLE;DE;ALCORES;ALCORES;13;1;-;-;12;16
00021250;CALLE;DE;ALCORISA;ALCORISA;16;3;1;87;2;30
00000711;CALLE;DEL;ALCORNOQUE;ALCORNOQUE;09;7;1;5;2;8
00021800;CALLE;DE;ALDAPA;ALDAPA;11;4;1;5;2;8
00021900;CALLE;DE;ALDAYA;ALDAYA;16;4;3;3;2;28
00022000;CALLE;DE;ALDEA DEL FRESNO;ALDEA DEL FRESNO;02;3;1;29;2;32
31001635;CALLE;DE;ALDEA REAL;ALDEA REAL;09;3;1;17;2;14
00022250;CALLE;DE;ALDEANUEVA DE LA VERA;ALDEANUEVA DE LA VERA;10;7;1;39;2;48
00022300;CALLE;DE;ALDEBARAN;ALDEBARÁN;09;7;1;7;2;6
00001428;CALLE;DE;ALDONZA LORENZO;ALDONZA LORENZO;08;6;1;19;6;12
00022500;CALLE;DE LA;ALEGRIA;ALEGRÍA;11;5;1;39;2;38
00022800;CALLE;DE;ALEGRIA DE ORIA;ALEGRÍA DE ORIA;20;8;1;85;2;52
00022900;CALLE;DE;ALEIXANDRE;ALEIXANDRE;15;8;1;13;2;8
00023100;CALLE;DE;ALEJANDRINA MORAN;ALEJANDRINA MORÁN;10;3;1;37;2;44
00023150;CALLE;DE;ALEJANDRO CASONA;ALEJANDRO CASONA;08;3;1;7;2;46
